full_name,username,email,institution,affiliation_start,city,county,subscription_type,subscription_start,join_date
R. E. Chapman,chapdude63,r63@insectwatch.org,The Bumblebee Behaviour Bureau,2018-04-08,Colchester,Essex,Free,2018-04-08,2018-04-08
M. E. Lopezaraiza-Mikel,mikelmouse,m2@insectwatch.org,Institute of Advanced Waggling,2010-07-08,Maidstone,Kent,Pro,2010-07-08,2010-07-08
M. E. Hanley,callmehan78,m858@insectwatch.org,The Royal EntomoSociety of Pollen Affairs,2013-04-03,Epsom,Surrey,HiveMind,2013-04-03,2013-04-03
C. Botías,cbotias,c284@insectwatch.org,Unaffiliated,2022-10-07,Cambridge,Cambridgeshire,Free,2022-10-07,2022-10-07
A. Lucas,lucathegreat,a955@insectwatch.org,Department of Applied Buzzology,2010-10-10,Woking,Surrey,FieldScout,2010-10-10,2010-10-10
H. E. Cunnold,foxman89,h358@insectwatch.org,Institute of Advanced Waggling,2016-11-28,Maidstone,Kent,BeeWatch+,2016-11-28,2016-11-28
M. Garbuzov,watermelonman,m69@insectwatch.org,College of Nectar Navigation and Foraging Arts,2013-01-30,Ely,Cambridgeshire,Pro,2013-01-30,2013-01-30
Sarah A. Corbet,sarah764,sarah764@insectwatch.org,The Bumblebee Behaviour Bureau,2017-08-25,Worksop,Nottinghamshire,HiveMind,2017-08-25,2017-08-25
D. A. Jones,biglittlejones,da562@insectwatch.org,Academy of Microscopic Winged Diplomats,2014-04-28,Nottingham,Nottinghamshire,FieldScout,2014-04-28,2014-04-28
G. N. Stone,coldasstone,g497@insectwatch.org,Centre for Cross-Pollination Strategy and Research,2010-11-11,Southampton,Hampshire,FieldScout,2010-11-11,2010-11-11
R. E. Chapman,chapdude63,r63@insectwatch.org,Centre for Cross-Pollination Strategy and Research,2019-01-07,Colchester,Essex,Free,2018-04-08,2018-04-08
K. Shackleton,shackles55,k234@insectwatch.org,Beetle Institute for Suburban Surveillance,2022-06-06,Ely,Cambridgeshire,Free,2022-06-06,2022-06-06
N. J. Balfour,ninjabal,nj776@insectwatch.org,University of Anticipated Antics,2011-09-02,Wolverhampton,West Midlands,HiveMind,2011-09-02,2011-09-02
S. Falk,fakefalk0,s779@insectwatch.org,Academy of Microscopic Winged Diplomats,2022-06-07,Oxford,Oxfordshire,FieldScout,2022-06-07,2022-06-07
C. Bentley,porscheman,c925@insectwatch.org,The Royal EntomoSociety of Pollen Affairs,2014-11-23,Birmingham,West Midlands,FieldScout,2014-11-23,2014-11-23
J. C. Willis,jcwillis,jc761@insectwatch.org,Unaffiliated,2020-08-26,Epsom,Surrey,Pro,2020-08-26,2020-08-26
V. R. Wignall,wigyall,vr365@insectwatch.org,The Royal EntomoSociety of Pollen Affairs,2017-03-27,Coventry,West Midlands,FieldScout,2017-03-27,2017-03-27
J. B. Free,foreverfree,jb858@insectwatch.org,Institute of Advanced Waggling,2014-07-14,Manchester,Greater Manchester,HiveMind,2014-07-14,2014-07-14
A. R. McLellan,insectlover,ar108@insectwatch.org,School of Silken Thread and Flutter Science,2022-12-19,Maidstone,Kent,Pro,2022-12-19,2022-12-19
C. R. Hipkin,hipkinbibkin,cr785@insectwatch.org,Unaffiliated,2014-04-23,Oxford,Oxfordshire,HiveMind,2014-04-23,2014-04-23
R. W. Butcher,letsbeatmeat,rw495@insectwatch.org,Centre for Cross-Pollination Strategy and Research,2012-05-16,Portsmouth,Hampshire,BeeWatch+,2012-05-16,2012-05-16
Q. O. N. Kay,qon394,qon394@insectwatch.org,Academy of Microscopic Winged Diplomats,2011-05-08,Guildford,Surrey,Pro,2011-05-08,2011-05-08
H. Goodwin,goodlose21,h985@insectwatch.org,The Bumblebee Behaviour Bureau,2016-02-18,Epsom,Surrey,BeeWatch+,2016-02-18,2016-02-18
D. J. Metcalfe,meetycow,dj622@insectwatch.org,School of Silken Thread and Flutter Science,2013-03-12,Lancaster,Lancashire,BeeWatch+,2013-03-12,2013-03-12
F. N. Hepper,hepperthanyou,fn817@insectwatch.org,University of Anticipated Antics,2017-03-29,Dover,Kent,HiveMind,2017-03-29,2017-03-29
G. E. Blackman,whiteman,ge719@insectwatch.org,Beetle Institute for Suburban Surveillance,2012-01-26,Stockport,Greater Manchester,Free,2012-01-26,2012-01-26
P. A. Thomas,doubting00,pa955@insectwatch.org,Centre for Cross-Pollination Strategy and Research,2019-03-28,Worksop,Nottinghamshire,Pro,2019-03-28,2019-03-28
R. Rollings,rocknrollbee,r267@insectwatch.org,Department of Applied Buzzology,2012-09-22,Preston,Lancashire,FieldScout,2012-09-22,2012-09-22
The North London Natural History Society,nlnhs,the511@insectwatch.org,Unaffiliated,2022-04-19,Guildford,Surrey,Free,2022-04-19,2022-04-19
R. F. Comont,cmonyall,rf315@insectwatch.org,Beetle Institute for Suburban Surveillance,2010-10-10,Birmingham,West Midlands,Free,2010-10-10,2010-10-10
R. J. Sands,sands614,r614@insectwatch.org,University of Anticipated Antics,2023-04-30,Salford,Greater Manchester,BeeWatch+,2023-04-30,2023-04-30
